Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
1612,526352080,20,RL,85.0,10667,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1971,1971,Gable,CompShg,MetalSd,MetalSd,BrkFace,302.0,TA,TA,CBlock,TA,TA,No,BLQ,838.0,Unf,0.0,749.0,1587.0,GasA,TA,Y,SBrkr,1587,0,0,1587,0.0,0.0,2,0,3,1,TA,7,Typ,1,Gd,Attchd,1971.0,Unf,2.0,525.0,TA,TA,Y,0,44,0,0,0,0,,,,0,3,2007,WD ,Normal,167300
1613,526352090,20,RL,85.0,10628,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,5,1970,1970,Flat,Tar&Grv,Plywood,Plywood,None,0.0,TA,Gd,CBlock,TA,Gd,Gd,GLQ,778.0,Unf,0.0,499.0,1277.0,GasA,TA,Y,SBrkr,1277,0,0,1277,1.0,0.0,1,0,2,1,TA,5,Typ,1,Po,Attchd,1970.0,Unf,2.0,526.0,TA,TA,Y,0,0,0,0,176,0,,GdWo,,0,4,2007,WD ,Normal,167000
1614,526355170,20,RL,95.0,13651,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Gable,CompShg,Plywood,Plywood,BrkFace,1115.0,TA,Gd,CBlock,Gd,TA,Gd,ALQ,1880.0,Unf,0.0,343.0,2223.0,GasA,Ex,Y,SBrkr,2223,0,0,2223,1.0,0.0,2,0,3,1,TA,8,Typ,2,Gd,Attchd,1973.0,Fin,2.0,516.0,TA,TA,Y,300,0,0,0,0,0,,,,0,2,2007,WD ,Normal,244000
1615,526355190,20,RL,95.0,15865,Pave,,IR1,Lvl,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,1Story,8,6,1970,1970,Flat,Tar&Grv,Wd Sdng,Wd Sdng,None,0.0,Gd,Gd,PConc,TA,Gd,Gd,ALQ,351.0,Rec,823.0,1043.0,2217.0,GasA,Ex,Y,SBrkr,2217,0,0,2217,1.0,0.0,2,0,4,1,Gd,8,Typ,1,TA,Attchd,1970.0,Unf,2.0,621.0,TA,TA,Y,81,207,0,0,224,0,,,,0,10,2007,WD ,Normal,268000
1616,527105140,60,RL,,12394,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Gd,Unf,0.0,Unf,0.0,847.0,847.0,GasA,Ex,Y,SBrkr,847,886,0,1733,0.0,0.0,2,1,3,1,Gd,7,Typ,1,Gd,BuiltIn,2003.0,Fin,2.0,433.0,TA,TA,Y,100,48,0,0,0,0,,,,0,10,2007,WD ,Family,225000
1617,527107040,60,RL,,10364,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1995,1996,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,806.0,806.0,GasA,Gd,Y,SBrkr,806,766,0,1572,0.0,0.0,2,1,3,1,TA,7,Typ,1,TA,BuiltIn,1995.0,Fin,2.0,373.0,TA,TA,Y,0,40,0,0,0,0,,,,0,5,2007,WD ,Normal,168000
1618,527110080,60,RL,,13869,Pave,,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,182.0,Unf,0.0,612.0,794.0,GasA,Gd,Y,SBrkr,794,676,0,1470,0.0,1.0,2,0,3,1,TA,6,Typ,0,,Attchd,1997.0,Fin,2.0,388.0,TA,TA,Y,0,75,0,0,0,0,,,,0,7,2007,WD ,Normal,177000
1619,527110120,60,RL,57.0,8773,Pave,,IR1,HLS,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0.0,916.0,916.0,GasA,Gd,Y,SBrkr,916,684,0,1600,0.0,0.0,2,1,3,1,TA,7,Typ,1,TA,Attchd,1997.0,Fin,2.0,460.0,TA,TA,Y,100,38,0,0,0,0,,,,0,8,2007,WD ,Normal,169000
1620,527110130,80,RL,56.0,8872,Pave,,IR1,HLS,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,6,5,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,384.0,384.0,GasA,Gd,Y,SBrkr,754,630,0,1384,0.0,0.0,2,1,3,1,TA,7,Typ,1,TA,BuiltIn,1997.0,Fin,2.0,390.0,TA,TA,Y,0,0,0,0,0,0,,,,0,3,2007,WD ,Normal,161500
1621,527126030,120,RL,41.0,5330,Pave,,Reg,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,1196.0,Unf,0.0,298.0,1494.0,GasA,Ex,Y,SBrkr,1652,0,0,1652,1.0,0.0,2,0,2,1,Ex,6,Typ,0,,Attchd,2000.0,RFn,2.0,499.0,TA,TA,Y,96,48,0,0,0,0,,,,0,8,2007,WD ,Normal,251000
